followers_count,friends_count,Bot_or_Not
1133,930,0
157,782,0
4,0,0
228420,15,0
84,0,1
22,384,0
45,0,0
10848,1084,0
10566,3640,0
392,1930,1
2241,2124,0
473,841,0
263,1013,0
851,1,1
51,117,1
399,1,0
18018,895,0
887,984,0
7,0,1
1518793,1526,0
5939,892,0
1316679,296,0
321,1,1
298,0,1
35,1,1
767949,1437,0
0,0,0
134733,97,0
518,0,1
110,428,0
185,200,0
752,568,0
1492,1391,1
511,494,0
5035,2617,0
51,0,1
18933,11164,0
234840,862,0
68,300,0
3,0,1
1,56,0
29,0,1
520,780,0
1071,407,0
297,116,0
364233,14866,0
652,796,1
140,151,0
1724,25,0
44,0,1
1081,2609,0
433,24,0
1264,104,1
1677,913,0
4,155,1
15,0,1
2333994,737,0
127,267,1
11,27,0
148,530,0
4,38,1
52903,2636,0
56,0,1
98,341,1
26,0,1
8389,3866,0
28,135,1
9,0,1
55,66,1
7,968,1
12,6,1
118727,637,0
1161,2339,0
2,0,1
11,0,1
18,185,1
956290,496,0
1,7,1
313,203,0
96802,6,0
48,0,1
711,1564,1
16,250,1
0,15,1
8,0,1
70,32,1
667,514,0
24,88,1
390,236,0
1269,729,0
265,388,0
43326,2861,0
34,166,0
3550,235,0
0,714,1
19,0,1
1340,2439,1
64,263,1
32,22,0
34,210,0
1,0,0
10,0,1
277,1579,0
27,74,1
1296,70,0
11,5,1
50,99,0
0,0,0
564645,36,0
693,2783,0
0,0,0
606987,336,0
1372,934,0
11,63,0
19,243,1
28,276,1
90,135,0
47,166,0
275,170,0
8,265,0
61,213,0
39,60,1
194781,2,0
241,304,0
166,396,0
113,0,1
773,1507,0
0,20,1
6,0,0
1,0,1
424,655,0
2848336,288791,0
256785,939,0
358,341,0
136888,7615,0
966,288,1
1353508,515,0
17,162,0
70,0,0
111,164,0
166,1479,0
303,842,1
111,127,0
4389,4268,0
258,139,0
1985,1631,0
32,0,0
114,120,1
1710932,435,0
608,609,0
1,0,0
11685270,16070,0
57112,1746,0
16,366,0
2143433,771,0
35,179,0
216,0,1
2043,5000,0
108,0,0
2113,4136,0
327,329,0
32,0,0
8570,1405,0
320,1402,0
64,186,0
0,0,0
31749,1627,0
3120,4988,0
1157571,481,0
417,307,0
14,0,1
436,1099,0
86,362,0
21,17,1
34,166,0
83,0,1
148,174,0
528,594,1
445,551,0
1904587,96,0
131,542,0
52,160,1
4,35,1
2176213,798,0
1677129,467,0
2385,354,0
2194,1247,1
303,45,1
0,0,1
985,705,0
7460,1080,0
1149235,1183,0
203,627,0
18,0,1
457,352,0
99238,189,0
1428,1240,0
78435,4352,0
12,0,1
30,245,1
582256,12390,0
1,0,1
0,0,1
18,20,0
2225030,5606,0
806,3065,0
206,302,0
744,195,0
1120530,709,0
3,0,1
434479,14,0
506,2593,0
243,224,0
36266,25744,0
236,191,0
1582622,159,0
192,405,0
787458,763,0
167,319,1
791,28,0
38,0,1
506,374,0
88,761,0
3550310,831,0
654,2038,0
163695,3027,0
1,16,1
11541,8715,0
863,581,0
353,0,1
13,0,0
45,0,0
0,0,0
2625229,1,0
8,0,1
37,0,1
25,91,0
89717,561,0
21113,2114,0
215894,110,1
255,1978,1
982,471,0
